date,open,high,low,close,,,
4/29/2022,423.59,425.87,411.21,412,,,
5/2/2022,412.07,415.92,405.02,414.48,,,
5/3/2022,415.01,418.93,413.36,416.38,,,
5/4/2022,417.08,429.66,413.7099,429.06,,,
5/5/2022,424.55,425,409.44,413.81,,,
5/6/2022,411.1,414.8,405.73,411.34,,,
5/9/2022,405.1,406.41,396.5,398.17,,,
5/10/2022,404.49,406.08,394.82,399.09,,,
5/11/2022,398.07,404.04,391.96,392.75,,,
5/12/2022,389.37,395.8,385.15,392.34,,,
5/13/2022,396.71,403.18,395.61,401.72,,,
5/16/2022,399.98,403.97,397.6,400.09,,,
5/17/2022,406.53,408.57,402.5824,408.32,,,
5/18/2022,403.5,403.8,390.55,391.86,,,
5/19/2022,388.62,394.14,387.11,389.46,,,
5/20/2022,393.25,397.03,380.54,389.63,,,
5/23/2022,392.83,397.73,390.38,396.92,,,
5/24/2022,392.56,395.15,386.96,393.89,,,
5/25/2022,392.31,399.45,391.89,397.37,,,
5/26/2022,398.67,407.04,398.45,405.31,,,
5/27/2022,407.91,415.3801,407.7,415.26,,,
5/31/2022,413.55,416.46,410.03,412.93,,,
6/1/2022,415.17,416.24,406.93,409.59,,,
6/2/2022,409.42,417.44,407.04,417.39,,,
6/3/2022,412.4,414.04,409.51,410.54,,,
6/6/2022,414.78,416.609,410.5523,411.79,,,
6/7/2022,408.1,416.22,407.61,415.74,,,
6/8/2022,413.93,415.82,410.38,411.22,,,
6/9/2022,409.34,411.74,401.44,401.44,,,
6/10/2022,394.88,395.7777,389.75,389.8,,,
6/13/2022,379.85,381.81,373.3,375,,,
6/14/2022,376.85,377.94,370.59,373.87,,,
6/15/2022,377.36,383.9,372.12,379.2,,,
6/16/2022,370.51,370.94,364.0799,366.65,,,
6/17/2022,365.51,369.38,362.17,365.86,,,
6/21/2022,371.89,376.525,371.81,375.07,,,
6/22/2022,370.62,378.72,370.18,374.39,,,
6/23/2022,376.64,378.83,372.89,378.06,,,
6/24/2022,381.4,390.09,381.365,390.08,,,
6/27/2022,391.05,391.36,387.44,388.59,,,
6/28/2022,390.23,393.16,380.53,380.65,,,
6/29/2022,381.23,382.27,378.42,380.34,,,
6/30/2022,376.24,380.6582,372.56,377.25,,,
7/1/2022,376.56,381.7,373.8,381.24,,,
7/5/2022,375.88,381.98,372.9,381.96,,,
7/6/2022,382.11,385.87,379.6,383.25,,,
7/7/2022,385.12,389.83,383.267,388.99,,,
7/8/2022,387.27,390.64,385.66,388.67,,,
7/11/2022,385.85,386.87,383.5,384.23,,,
7/12/2022,383.65,386.16,378.99,380.83,,,
7/13/2022,375.1,381.92,374.658,378.83,,,
7/14/2022,373.61,379.0498,371.04,377.91,,,
7/15/2022,382.55,385.25,380.54,385.13,,,
7/18/2022,388.38,389.09,380.66,381.95,,,
7/19/2022,386.08,392.87,385.39,392.27,,,
7/20/2022,392.47,396.26,391.03,394.77,,,
7/21/2022,394.16,398.84,391.63,398.79,,,
7/22/2022,398.92,400.18,392.75,395.09,,,
7/25/2022,395.75,396.47,393.21,395.57,,,
7/26/2022,393.84,394.06,389.95,390.89,,,
7/27/2022,394.36,402.88,394.05,401.04,,,
7/28/2022,401.89,406.8,398.15,406.07,,,
7/29/2022,407.58,413.03,406.77,411.99,,,
8/1/2022,409.15,413.41,408.4,410.77,,,
8/2/2022,409.12,413,406.82,408.06,,,
8/3/2022,410.3,415.68,410,414.45,,,
8/4/2022,414.37,415.09,412.44,414.17,,,
8/5/2022,409.66,414.15,409.6,413.47,,,
8/8/2022,415.25,417.62,411.83,412.99,,,
8/9/2022,412.22,412.75,410.22,411.35,,,
8/10/2022,418.78,420.14,416.72,419.99,,,
8/11/2022,422.99,424.95,419.21,419.99,,,
8/12/2022,422.03,427.21,421.03,427.1,,,
8/15/2022,424.765,429.41,424.71,428.86,,,
8/16/2022,427.73,431.73,426.88,429.7,,,
8/17/2022,425.91,429.5,424.54,426.65,,,
8/18/2022,426.86,428.61,425.5,427.89,,,
8/19/2022,424.98,425.26,421.22,422.14,,,
8/22/2022,417.05,417.23,412.4,413.35,,,
8/23/2022,412.9,415.42,411.77,412.35,,,
8/24/2022,412.11,415.1101,411.39,413.67,,,
8/25/2022,415.24,419.56,414.09,419.51,,,
8/26/2022,419.39,419.96,405.25,405.31,,,
8/29/2022,402.2,405.84,401.1999,402.63,,,
8/30/2022,403.85,404.1,396,398.21,,,
8/31/2022,399.93,401.24,395.04,395.18,,,
9/1/2022,392.89,396.78,390.04,396.42,,,
9/2/2022,400.28,401.555,390.33,392.24,,,
9/6/2022,393.13,394.12,388.42,390.76,,,
9/7/2022,390.43,398.59,390.2,397.78,,,
9/8/2022,395.39,400.86,394.12,400.38,,,
9/9/2022,402.74,407.51,402.46,406.6,,,
9/12/2022,408.78,411.73,408.46,410.97,,,
9/13/2022,401.83,403.1,391.92,393.1,,,
9/14/2022,394.47,396.2,391.12,394.6,,,
9/15/2022,392.96,395.96,388.78,390.12,,,
9/16/2022,384.14,386.25,382.11,385.56,,,
9/19/2022,382.26,388.55,382.1784,388.55,,,
9/20/2022,385.06,386.12,381.195,384.09,,,
9/21/2022,386.11,389.31,377.38,377.39,,,
9/22/2022,376.58,377.66,373.44,374.22,,,
9/23/2022,370.58,370.62,363.29,367.95,,,
9/26/2022,366.41,370.21,363.0299,364.31,,,
9/27/2022,368.02,370.4,360.87,363.38,,,
9/28/2022,364.38,372.3,362.6,370.53,,,
9/29/2022,366.81,367.11,359.7,362.79,,,
9/30/2022,361.8,365.91,357.04,357.18,,,
10/3/2022,361.08,368.55,359.21,366.61,,,
10/4/2022,372.4,378,366.5677,377.97,,,
10/5/2022,373.39,379.46,370.95,377.09,,,
10/6/2022,375.62,378.72,372.68,373.2,,,
10/7/2022,368.97,373.2933,360.94,362.79,,,
10/10/2022,363.96,364.21,357.67,360.02,,,
10/11/2022,358.235,363.03,355.71,357.74,,,
10/12/2022,358.17,359.8179,356.3,356.56,,,
10/13/2022,349.205,367.51,348.11,365.97,,,
10/14/2022,368.55,370.26,356.96,357.63,,,
10/17/2022,364.01,367.9799,357.2808,366.82,,,
10/18/2022,375.13,375.45,367.52,371.13,,,
10/19/2022,368.99,371.85,365.55,368.5,,,
10/20/2022,368.03,372.67,364.61,365.41,,,
10/21/2022,365.12,374.8,363.54,374.29,,,
10/24/2022,375.89,380.06,373.11,378.87,,,
10/25/2022,378.79,385.25,378.671,384.92,,,
10/26/2022,381.62,387.58,381.35,382.02,,,
10/27/2022,383.07,385,379.33,379.98,,,
10/28/2022,379.87,389.52,379.68,389.02,,,
10/31/2022,386.44,388.4,385.26,386.21,,,
11/1/2022,390.14,390.39,383.29,384.52,,,
11/2/2022,383.9,388.63,374.76,374.87,,,
11/3/2022,371.465,374.2,368.79,371.01,,,
11/4/2022,377,378.87,370,376.35,,,
11/7/2022,377.71,380.57,375.53,379.95,,,
11/8/2022,381.11,385.12,377.72,382,,,
11/9/2022,379.93,381.14,373.61,374.13,,,
11/10/2022,388.05,395.04,385.642,394.69,,,
11/11/2022,395.59,399.35,393.61,398.51,,,
11/14/2022,396.66,400.1799,394.83,395.12,,,
11/15/2022,401.15,402.31,394.49,398.49,,,
11/16/2022,396.78,397.78,394.79,395.45,,,
11/17/2022,390.46,394.95,390.14,394.24,,,
11/18/2022,397.74,397.81,393.04,396.03,,,
11/21/2022,394.64,395.82,392.66,394.59,,,
11/22/2022,396.63,400.07,395.1527,399.9,,,
11/23/2022,399.55,402.93,399.31,402.42,,,
11/25/2022,401.83,402.91,401.535,402.33,,,
11/28/2022,399.09,400.81,395.11,395.91,,,
11/29/2022,396.05,397.3,393.3,395.23,,,
11/30/2022,395.49,407.68,393.48,407.68,,,
12/1/2022,408.77,410,404.75,407.38,,,
12/2/2022,402.25,407.86,402.14,406.91,,,
12/5/2022,403.95,404.93,398.17,399.59,,,
12/6/2022,399.42,399.99,391.64,393.83,,,
12/7/2022,392.94,395.64,391.97,393.16,,,
12/8/2022,395.14,397.36,393.2684,396.24,,,
12/9/2022,394.94,397.62,393.15,393.28,,,
12/12/2022,394.11,398.95,393.412,398.95,,,
12/13/2022,410.22,410.49,399.07,401.97,,,
12/14/2022,401.61,405.5,396.31,399.4,,,
12/15/2022,394.3,395.25,387.885,389.63,,,
12/16/2022,385.18,386.575,381.04,383.27,,,
12/19/2022,383.47,383.82,378.28,380.02,,,
12/20/2022,379.23,382.23,377.85,380.54,,,
12/21/2022,383.25,387.41,382.69,386.23,,,
12/22/2022,383.05,386.2134,374.77,380.72,,,
12/23/2022,379.65,383.06,378.03,382.91,,,
12/27/2022,382.79,383.15,379.65,381.4,,,
12/28/2022,381.33,383.39,376.42,376.66,,,
12/29/2022,379.63,384.35,379.08,383.44,,,
12/30/2022,380.64,382.58,378.43,382.43,,,
1/3/2023,384.37,386.43,377.831,380.82,,,
1/4/2023,383.18,385.88,380,383.76,,,
1/5/2023,381.72,381.84,378.76,379.38,,,
1/6/2023,382.61,389.25,379.4127,388.08,,,
1/9/2023,390.37,393.7,387.67,387.86,,,
1/10/2023,387.25,390.65,386.27,390.58,,,
1/11/2023,392.23,395.6,391.38,395.52,,,
1/12/2023,396.67,398.485,392.42,396.96,,,
1/13/2023,393.62,399.1,393.34,398.5,,,
1/17/2023,398.48,400.23,397.06,397.77,,,
1/18/2023,399.01,400.12,391.28,391.49,,,
1/19/2023,389.36,391.08,387.26,388.64,,,
1/20/2023,390.1,396.04,388.38,395.88,,,
1/23/2023,396.72,402.645,395.72,400.63,,,
1/24/2023,398.88,401.15,397.64,400.2,,,
1/25/2023,395.95,400.7,393.56,400.35,,,
1/26/2023,403.13,404.92,400.03,404.75,,,
1/27/2023,403.655,408.16,403.44,405.68,,,
1/30/2023,402.8,405.13,400.28,400.59,,,
1/31/2023,401.13,406.53,400.77,406.48,,,
2/1/2023,405.211,413.67,402.35,410.8,,,
2/2/2023,414.86,418.31,412.88,416.78,,,
2/3/2023,411.59,416.97,411.09,412.35,,,
2/6/2023,409.79,411.29,408.1,409.83,,,
2/7/2023,408.87,416.49,407.57,415.19,,,
2/8/2023,413.13,414.53,409.93,410.65,,,
2/9/2023,414.41,414.57,405.81,407.09,,,
2/10/2023,405.86,408.44,405.01,408.04,,,
2/13/2023,408.72,412.97,408.24,412.83,,,
2/14/2023,411.24,415.05,408.511,412.64,,,
2/15/2023,410.35,414.06,409.47,413.98,,,
2/16/2023,408.79,412.91,408.14,408.28,,,
2/17/2023,406.06,407.51,404.05,407.26,,,
